Year,Annual-Mean,5-yr-Smooth
1991,26.96,26.8
1992,26.59,26.84
1993,26.96,26.9
1994,26.75,26.97
1995,27.05,27.04
1996,27.13,27.08
1997,27.14,27.12
1998,27.51,27.14
1999,27.12,27.16
2000,26.92,27.19
2001,27.11,27.22
2002,27.28,27.26
2003,27.38,27.3
2004,27.38,27.35
2005,27.5,27.4
2006,27.47,27.44
2007,27.45,27.48
2008,27.09,27.51
2009,27.75,27.53
2010,27.86,27.55
2011,27.49,27.55
2012,27.3,27.54
2013,27.51,27.53
2014,27.61,27.51
2015,27.38,27.49
2016,27.79,27.48
2017,27.46,27.48
2018,27.41,27.48
2019,27.29,27.49
2020,27.43,27.5
2021,27.67,27.51
